#,Date-Time (CDT),Temperature (°F) ,RH (%) ,Dew Point (°F) 
66,05/02/2024 17:25:00,75.81,43.510,52.07
67,05/02/2024 17:30:00,75.81,43.600,52.13
68,05/02/2024 17:35:00,75.81,43.870,52.30
69,05/02/2024 17:40:00,75.78,43.970,52.33
70,05/02/2024 17:45:00,75.78,44.090,52.40
71,05/02/2024 17:50:00,75.78,44.140,52.43
72,05/02/2024 17:55:00,75.72,44.170,52.40
73,05/02/2024 18:00:00,75.72,44.240,52.45
74,05/02/2024 18:05:00,75.72,44.360,52.52
75,05/02/2024 18:10:00,75.72,44.430,52.57
76,05/02/2024 18:15:00,75.72,44.430,52.57
77,05/02/2024 18:20:00,75.69,44.460,52.55
78,05/02/2024 18:25:00,75.69,44.430,52.53
79,05/02/2024 18:30:00,75.63,44.560,52.56
80,05/02/2024 18:35:00,75.63,44.510,52.53
81,05/02/2024 18:40:00,75.60,44.580,52.54
82,05/02/2024 18:45:00,75.60,44.580,52.54
83,05/02/2024 18:50:00,75.60,44.650,52.59
84,05/02/2024 18:55:00,75.54,44.650,52.54
85,05/02/2024 19:00:00,75.54,44.730,52.58
86,05/02/2024 19:05:00,75.54,44.800,52.63
87,05/02/2024 19:10:00,75.54,44.820,52.64
88,05/02/2024 19:15:00,75.54,44.950,52.71
89,05/02/2024 19:20:00,75.54,44.950,52.71
90,05/02/2024 19:25:00,75.60,45.000,52.79
91,05/02/2024 19:30:00,75.54,45.020,52.76
92,05/02/2024 19:35:00,75.54,45.020,52.76
93,05/02/2024 19:40:00,75.54,45.020,52.76
94,05/02/2024 19:45:00,75.54,45.120,52.82
95,05/02/2024 19:50:00,75.99,45.390,53.39
96,05/02/2024 19:55:00,76.55,47.000,54.85
97,05/02/2024 20:00:00,77.11,45.780,54.64
98,05/02/2024 20:05:00,77.50,44.730,54.36
99,05/02/2024 20:10:00,77.77,44.510,54.47
100,05/02/2024 20:15:00,78.08,43.750,54.27
101,05/02/2024 20:20:00,78.39,45.950,55.90
102,05/02/2024 20:25:00,78.51,44.040,54.85
103,05/02/2024 20:30:00,78.51,42.800,54.06
104,05/02/2024 20:35:00,78.51,41.970,53.52
105,05/02/2024 20:40:00,78.57,41.720,53.41
106,05/02/2024 20:45:00,78.60,41.410,53.24
107,05/02/2024 20:50:00,78.60,40.940,52.93
108,05/02/2024 20:55:00,78.64,40.890,52.93
109,05/02/2024 21:00:00,78.64,40.500,52.67
110,05/02/2024 21:05:00,78.69,40.430,52.67
111,05/02/2024 21:10:00,78.69,40.190,52.50
112,05/02/2024 21:15:00,78.73,40.110,52.49
113,05/02/2024 21:20:00,78.73,39.970,52.39
114,05/02/2024 21:25:00,78.78,39.820,52.33
115,05/02/2024 21:30:00,78.78,39.670,52.23
116,05/02/2024 21:35:00,78.82,39.580,52.20
117,05/02/2024 21:40:00,78.87,39.360,52.10
118,05/02/2024 21:45:00,78.87,39.180,51.98
119,05/02/2024 21:50:00,78.91,39.160,51.99
120,05/02/2024 21:55:00,78.91,38.890,51.81
121,05/02/2024 22:00:00,78.91,38.840,51.77
122,05/02/2024 22:05:00,78.94,38.570,51.62
123,05/02/2024 22:10:00,78.94,38.500,51.56
124,05/02/2024 22:15:00,79.00,38.430,51.56
125,05/02/2024 22:20:00,79.00,38.350,51.51
126,05/02/2024 22:25:00,79.00,38.210,51.41
127,05/02/2024 22:30:00,79.00,38.090,51.32
128,05/02/2024 22:35:00,79.03,38.010,51.30
129,05/02/2024 22:40:00,79.03,37.990,51.28
130,05/02/2024 22:45:00,79.03,37.790,51.14
131,05/02/2024 22:50:00,79.03,37.700,51.07
132,05/02/2024 22:55:00,79.03,37.650,51.04
133,05/02/2024 23:00:00,79.03,37.550,50.97
134,05/02/2024 23:05:00,79.03,37.430,50.88
135,05/02/2024 23:10:00,79.03,37.430,50.88
136,05/02/2024 23:15:00,79.03,37.280,50.77
137,05/02/2024 23:20:00,79.09,37.230,50.79
138,05/02/2024 23:25:00,79.09,37.040,50.64
139,05/02/2024 23:30:00,79.09,37.040,50.64
140,05/02/2024 23:35:00,79.09,36.890,50.54
141,05/02/2024 23:40:00,79.09,36.740,50.43
142,05/02/2024 23:45:00,79.09,36.650,50.36
143,05/02/2024 23:50:00,79.09,36.500,50.25
144,05/02/2024 23:55:00,79.09,36.350,50.14
145,05/03/2024 00:00:00,79.03,36.300,50.06
146,05/03/2024 00:05:00,79.03,36.210,49.99
147,05/03/2024 00:10:00,79.03,36.060,49.88
148,05/03/2024 00:15:00,79.03,35.990,49.82
149,05/03/2024 00:20:00,79.03,35.860,49.73
150,05/03/2024 00:25:00,79.00,35.840,49.68
151,05/03/2024 00:30:00,79.00,35.720,49.59
152,05/03/2024 00:35:00,79.00,35.640,49.53
153,05/03/2024 00:40:00,78.94,35.500,49.38
154,05/03/2024 00:45:00,78.94,35.420,49.32
155,05/03/2024 00:50:00,78.91,35.420,49.29
156,05/03/2024 00:55:00,78.91,35.300,49.20
157,05/03/2024 01:00:00,78.87,35.230,49.11
158,05/03/2024 01:05:00,78.87,35.030,48.96
159,05/03/2024 01:10:00,78.87,34.860,48.83
160,05/03/2024 01:15:00,78.82,34.860,48.78
161,05/03/2024 01:20:00,78.78,34.720,48.64
162,05/03/2024 01:25:00,78.78,34.520,48.49
163,05/03/2024 01:30:00,78.78,34.420,48.41
164,05/03/2024 01:35:00,78.73,34.350,48.31
165,05/03/2024 01:40:00,78.69,34.250,48.20
166,05/03/2024 01:45:00,78.64,34.230,48.13
167,05/03/2024 01:50:00,78.64,34.160,48.08
168,05/03/2024 01:55:00,78.60,33.940,47.87
169,05/03/2024 02:00:00,78.57,33.840,47.76
170,05/03/2024 02:05:00,78.57,33.740,47.69
171,05/03/2024 02:10:00,78.51,33.500,47.45
172,05/03/2024 02:15:00,78.51,33.230,47.23
173,05/03/2024 02:20:00,78.48,33.200,47.18
174,05/03/2024 02:25:00,78.48,33.060,47.06
175,05/03/2024 02:30:00,78.48,32.980,47.00
176,05/03/2024 02:35:00,78.42,32.740,46.76
177,05/03/2024 02:40:00,78.39,32.640,46.65
178,05/03/2024 02:45:00,78.39,32.590,46.61
179,05/03/2024 02:50:00,78.33,32.500,46.48
180,05/03/2024 02:55:00,78.30,32.370,46.35
181,05/03/2024 03:00:00,78.30,32.350,46.33
182,05/03/2024 03:05:00,78.26,32.250,46.22
183,05/03/2024 03:10:00,78.26,32.100,46.10
184,05/03/2024 03:15:00,78.21,31.930,45.91
185,05/03/2024 03:20:00,78.21,31.790,45.79
186,05/03/2024 03:25:00,78.17,31.710,45.70
187,05/03/2024 03:30:00,78.17,31.760,45.74
188,05/03/2024 03:35:00,78.12,31.540,45.51
189,05/03/2024 03:40:00,78.12,31.470,45.45
190,05/03/2024 03:45:00,78.08,31.250,45.23
191,05/03/2024 03:50:00,78.03,31.350,45.27
192,05/03/2024 03:55:00,78.03,31.230,45.17
193,05/03/2024 04:00:00,77.99,31.080,45.01
194,05/03/2024 04:05:00,77.90,31.010,44.87
195,05/03/2024 04:10:00,77.90,30.930,44.81
196,05/03/2024 04:15:00,77.86,30.810,44.67
197,05/03/2024 04:20:00,77.86,30.810,44.67
198,05/03/2024 04:25:00,77.86,30.740,44.61
199,05/03/2024 04:30:00,77.81,30.620,44.46
200,05/03/2024 04:35:00,77.81,30.470,44.33
201,05/03/2024 04:40:00,77.77,30.250,44.11
202,05/03/2024 04:45:00,77.77,30.300,44.16
203,05/03/2024 04:50:00,77.77,30.320,44.18
204,05/03/2024 04:55:00,77.77,30.400,44.24
205,05/03/2024 05:00:00,77.81,30.420,44.29
206,05/03/2024 05:05:00,77.77,30.420,44.26
207,05/03/2024 05:10:00,77.77,30.370,44.22
208,05/03/2024 05:15:00,77.77,30.300,44.16
209,05/03/2024 05:20:00,77.77,30.370,44.22
210,05/03/2024 05:25:00,77.77,30.300,44.16
211,05/03/2024 05:30:00,77.72,30.180,44.00
212,05/03/2024 05:35:00,77.77,30.220,44.09
213,05/03/2024 05:40:00,77.77,30.100,43.99
214,05/03/2024 05:45:00,77.72,30.030,43.88
215,05/03/2024 05:50:00,77.72,30.030,43.88
216,05/03/2024 05:55:00,77.72,29.960,43.81
217,05/03/2024 06:00:00,77.72,29.930,43.79
218,05/03/2024 06:05:00,77.72,29.910,43.77
219,05/03/2024 06:10:00,77.72,29.860,43.73
220,05/03/2024 06:15:00,77.72,30.000,43.85
221,05/03/2024 06:20:00,77.72,30.490,44.28
222,05/03/2024 06:25:00,77.72,30.370,44.17
223,05/03/2024 06:30:00,77.72,30.300,44.11
224,05/03/2024 06:35:00,77.72,30.370,44.17
225,05/03/2024 06:40:00,77.68,30.050,43.87
226,05/03/2024 06:45:00,77.65,29.610,43.45
227,05/03/2024 06:50:00,77.59,29.150,42.99
228,05/03/2024 06:55:00,77.56,28.830,42.67
229,05/03/2024 07:00:00,77.50,28.910,42.69
230,05/03/2024 07:05:00,77.50,28.980,42.76
231,05/03/2024 07:10:00,77.50,29.100,42.87
232,05/03/2024 07:15:00,77.50,29.220,42.98
233,05/03/2024 07:20:00,77.50,29.320,43.07
234,05/03/2024 07:25:00,77.50,29.440,43.17
235,05/03/2024 07:30:00,77.50,29.520,43.24
236,05/03/2024 07:35:00,77.50,29.640,43.35
237,05/03/2024 07:40:00,77.50,30.000,43.67
238,05/03/2024 07:45:00,77.50,30.200,43.84
239,05/03/2024 07:50:00,77.50,30.300,43.92
240,05/03/2024 07:55:00,77.50,30.270,43.90
241,05/03/2024 08:00:00,77.50,30.420,44.03
242,05/03/2024 08:05:00,77.56,30.570,44.20
243,05/03/2024 08:10:00,77.56,30.830,44.43
244,05/03/2024 08:15:00,77.59,31.130,44.71
245,05/03/2024 08:20:00,77.59,31.420,44.95
246,05/03/2024 08:25:00,77.65,31.760,45.29
247,05/03/2024 08:30:00,77.65,31.930,45.43
248,05/03/2024 08:35:00,77.68,32.060,45.56
249,05/03/2024 08:40:00,77.65,32.060,45.53
250,05/03/2024 08:45:00,77.65,32.130,45.59
251,05/03/2024 08:50:00,77.65,32.420,45.83
252,05/03/2024 08:55:00,77.68,32.860,46.22
253,05/03/2024 09:00:00,77.72,33.030,46.38
254,05/03/2024 09:05:00,77.72,33.230,46.54
255,05/03/2024 09:10:00,77.77,33.450,46.76
256,05/03/2024 09:15:00,77.77,33.670,46.94
257,05/03/2024 09:20:00,77.77,33.590,46.88
258,05/03/2024 09:25:00,77.81,34.010,47.24
259,05/03/2024 09:30:00,77.90,36.940,49.52
260,05/03/2024 09:35:00,77.95,37.400,49.90
261,05/03/2024 09:40:00,78.12,38.840,51.07
262,05/03/2024 09:45:00,78.33,40.060,52.10
263,05/03/2024 09:50:00,78.48,40.580,52.57
264,05/03/2024 09:55:00,78.51,39.310,51.74
265,05/03/2024 10:00:00,78.57,38.650,51.33
266,05/03/2024 10:05:00,78.57,38.110,50.95
267,05/03/2024 10:10:00,78.51,39.040,51.56
268,05/03/2024 10:15:00,78.12,38.330,50.71
269,05/03/2024 10:20:00,77.77,38.060,50.21
270,05/03/2024 10:25:00,77.47,38.040,49.93
271,05/03/2024 10:30:00,77.20,38.180,49.79
272,05/03/2024 10:35:00,77.04,38.380,49.78
273,05/03/2024 10:40:00,76.86,38.280,49.55
274,05/03/2024 10:45:00,76.68,38.350,49.45
275,05/03/2024 10:50:00,76.59,38.650,49.57
276,05/03/2024 10:55:00,76.89,38.160,49.50
277,05/03/2024 11:00:00,77.25,37.790,49.56
278,05/03/2024 11:05:00,77.50,37.330,49.45
279,05/03/2024 11:10:00,77.77,38.870,50.78
280,05/03/2024 11:15:00,78.03,39.820,51.66
281,05/03/2024 11:20:00,78.26,39.210,51.45
282,05/03/2024 11:25:00,78.39,39.260,51.60
283,05/03/2024 11:30:00,78.48,37.890,50.72
284,05/03/2024 11:35:00,78.51,37.350,50.36
285,05/03/2024 11:40:00,78.60,37.110,50.27
286,05/03/2024 11:45:00,78.73,38.430,51.32
287,05/03/2024 11:50:00,78.78,39.840,52.35
288,05/03/2024 11:55:00,78.42,39.600,51.86
289,05/03/2024 12:00:00,78.17,39.790,51.77
290,05/03/2024 12:05:00,77.95,40.620,52.14
291,05/03/2024 12:10:00,77.77,40.620,51.98
292,05/03/2024 12:15:00,77.65,41.330,52.33
293,05/03/2024 12:20:00,77.50,41.060,52.03
294,05/03/2024 12:25:00,77.41,41.190,52.03
295,05/03/2024 12:30:00,77.34,41.310,52.04
296,05/03/2024 12:35:00,77.29,42.360,52.68
297,05/03/2024 12:40:00,77.25,42.290,52.60
298,05/03/2024 12:45:00,77.25,42.970,53.03
299,05/03/2024 12:50:00,77.20,43.330,53.22
300,05/03/2024 12:55:00,77.20,43.190,53.12
301,05/03/2024 13:00:00,77.20,43.290,53.19
302,05/03/2024 13:05:00,77.20,43.120,53.08
303,05/03/2024 13:10:00,77.20,42.900,52.94
304,05/03/2024 13:15:00,77.20,43.190,53.12
305,05/03/2024 13:20:00,77.25,44.210,53.81
306,05/03/2024 13:25:00,77.29,44.650,54.12
307,05/03/2024 13:30:00,77.29,43.330,53.30
308,05/03/2024 13:35:00,77.29,43.120,53.16
309,05/03/2024 13:40:00,77.29,42.290,52.63
310,05/03/2024 13:45:00,77.29,41.110,51.87
311,05/03/2024 13:50:00,77.29,40.230,51.28
312,05/03/2024 13:55:00,77.25,39.500,50.75
313,05/03/2024 14:00:00,77.29,38.890,50.36
314,05/03/2024 14:05:00,77.29,38.230,49.90
315,05/03/2024 14:10:00,77.34,38.620,50.23
316,05/03/2024 14:15:00,77.38,38.920,50.46
317,05/03/2024 14:20:00,77.38,37.890,49.74
318,05/03/2024 14:25:00,77.38,37.430,49.41
319,05/03/2024 14:30:00,77.41,36.960,49.11
320,05/03/2024 14:35:00,77.41,36.380,48.68
321,05/03/2024 14:40:00,77.50,36.280,48.69
322,05/03/2024 14:45:00,77.59,37.130,49.39
323,05/03/2024 14:50:00,77.72,37.330,49.64
324,05/03/2024 14:55:00,77.95,39.160,51.14
325,05/03/2024 15:00:00,78.12,40.210,52.00
326,05/03/2024 15:05:00,78.30,41.060,52.74
327,05/03/2024 15:10:00,78.42,39.260,51.63
328,05/03/2024 15:15:00,78.48,39.650,51.94
329,05/03/2024 15:20:00,78.69,38.670,51.46
330,05/03/2024 15:25:00,78.64,36.740,50.03
331,05/03/2024 15:30:00,78.64,35.640,49.22
332,05/03/2024 15:35:00,78.64,35.160,48.85
333,05/03/2024 15:40:00,78.64,35.380,49.01
334,05/03/2024 15:45:00,78.69,35.210,48.93
335,05/03/2024 15:50:00,78.73,35.160,48.93
336,05/03/2024 15:55:00,78.78,35.110,48.94
337,05/03/2024 16:00:00,78.82,34.890,48.80
338,05/03/2024 16:05:00,78.94,40.550,52.98
339,05/03/2024 16:10:00,79.18,43.600,55.17
340,05/03/2024 16:15:00,79.18,38.500,51.77
341,05/03/2024 16:20:00,79.12,37.520,51.03
342,05/03/2024 16:25:00,79.12,36.870,50.55
343,05/03/2024 16:30:00,79.09,34.990,49.11
344,05/03/2024 16:35:00,79.03,34.230,48.48
345,05/03/2024 16:40:00,78.91,33.500,47.79
346,05/03/2024 16:45:00,78.87,32.740,47.15
347,05/03/2024 16:50:00,78.78,32.350,46.76
348,05/03/2024 16:55:00,78.73,32.100,46.51
349,05/03/2024 17:00:00,78.69,31.810,46.23
350,05/03/2024 17:05:00,78.69,32.030,46.42
351,05/03/2024 17:10:00,78.64,32.690,46.91
352,05/03/2024 17:15:00,78.64,32.980,47.15
353,05/03/2024 17:20:00,78.64,33.130,47.26
354,05/03/2024 17:25:00,78.69,33.130,47.31
355,05/03/2024 17:30:00,78.64,33.230,47.34
356,05/03/2024 17:35:00,78.64,33.080,47.22
357,05/03/2024 17:40:00,78.64,32.590,46.83
358,05/03/2024 17:45:00,78.60,31.760,46.12
359,05/03/2024 17:50:00,78.57,31.230,45.63
360,05/03/2024 17:55:00,78.57,30.570,45.07
361,05/03/2024 18:00:00,78.57,30.080,44.65
362,05/03/2024 18:05:00,78.51,29.790,44.34
363,05/03/2024 18:10:00,78.57,30.590,45.09
364,05/03/2024 18:15:00,78.60,31.470,45.87
365,05/03/2024 18:20:00,78.64,32.150,46.47
366,05/03/2024 18:25:00,78.69,32.470,46.78
367,05/03/2024 18:30:00,78.69,32.620,46.90
368,05/03/2024 18:35:00,78.69,32.760,47.02
369,05/03/2024 18:40:00,78.73,32.790,47.07
370,05/03/2024 18:45:00,78.73,32.930,47.19
371,05/03/2024 18:50:00,78.69,32.250,46.60
372,05/03/2024 18:55:00,78.64,31.200,45.68
373,05/03/2024 19:00:00,78.60,30.520,45.06
374,05/03/2024 19:05:00,78.57,29.930,44.52
375,05/03/2024 19:10:00,78.51,29.350,43.96
376,05/03/2024 19:15:00,78.48,29.200,43.79
377,05/03/2024 19:20:00,78.48,29.050,43.66
378,05/03/2024 19:25:00,78.48,28.830,43.46
379,05/03/2024 19:30:00,78.42,28.910,43.48
380,05/03/2024 19:35:00,78.48,29.270,43.86
381,05/03/2024 19:40:00,78.42,29.220,43.77
382,05/03/2024 19:45:00,78.42,29.570,44.07
383,05/03/2024 19:50:00,78.42,29.960,44.42
384,05/03/2024 19:55:00,78.42,30.440,44.84
385,05/03/2024 20:00:00,78.42,30.620,44.99
386,05/03/2024 20:05:00,78.42,30.930,45.26
387,05/03/2024 20:10:00,78.42,31.230,45.51
388,05/03/2024 20:15:00,78.39,31.320,45.56
389,05/03/2024 20:20:00,78.39,31.540,45.74
390,05/03/2024 20:25:00,78.39,31.570,45.76
391,05/03/2024 20:30:00,78.33,31.710,45.84
392,05/03/2024 20:35:00,78.33,31.840,45.94
393,05/03/2024 20:40:00,78.30,32.030,46.07
394,05/03/2024 20:45:00,78.26,32.030,46.04
395,05/03/2024 20:50:00,78.26,32.080,46.08
396,05/03/2024 20:55:00,78.21,32.100,46.05
397,05/03/2024 21:00:00,78.21,32.060,46.01
398,05/03/2024 21:05:00,78.17,32.010,45.94
399,05/03/2024 21:10:00,78.12,31.930,45.83
400,05/03/2024 21:15:00,78.08,31.980,45.84
401,05/03/2024 21:20:00,78.08,32.030,45.88
402,05/03/2024 21:25:00,78.03,31.930,45.76
403,05/03/2024 21:30:00,77.99,32.010,45.79
404,05/03/2024 21:35:00,77.95,32.010,45.75
405,05/03/2024 21:40:00,77.90,32.010,45.71
406,05/03/2024 21:45:00,77.86,32.010,45.68
407,05/03/2024 21:50:00,77.81,31.930,45.57
408,05/03/2024 21:55:00,77.77,31.960,45.56
409,05/03/2024 22:00:00,77.72,31.910,45.47
410,05/03/2024 22:05:00,77.68,31.980,45.50
411,05/03/2024 22:10:00,77.65,32.370,45.79
412,05/03/2024 22:15:00,77.65,32.420,45.83
413,05/03/2024 22:20:00,77.59,32.500,45.84
414,05/03/2024 22:25:00,77.56,32.500,45.81
415,05/03/2024 22:30:00,77.50,32.500,45.76
416,05/03/2024 22:35:00,77.41,32.570,45.74
417,05/03/2024 22:40:00,77.41,32.570,45.74
418,05/03/2024 22:45:00,77.34,32.540,45.66
419,05/03/2024 22:50:00,77.29,32.540,45.61
420,05/03/2024 22:55:00,77.25,32.520,45.56
421,05/03/2024 23:00:00,77.16,32.500,45.46
422,05/03/2024 23:05:00,77.11,32.450,45.38
423,05/03/2024 23:10:00,77.07,32.450,45.35
424,05/03/2024 23:15:00,76.98,32.320,45.17
425,05/03/2024 23:20:00,76.95,32.250,45.08
426,05/03/2024 23:25:00,76.86,32.200,44.96
427,05/03/2024 23:30:00,76.82,32.230,44.95
428,05/03/2024 23:35:00,76.77,32.150,44.84
429,05/03/2024 23:40:00,76.73,32.180,44.83
430,05/03/2024 23:45:00,76.68,32.130,44.74
431,05/03/2024 23:50:00,76.59,32.150,44.68
432,05/03/2024 23:55:00,76.55,32.150,44.65
433,05/04/2024 00:00:00,76.51,32.080,44.56
434,05/04/2024 00:05:00,76.42,31.980,44.40
435,05/04/2024 00:10:00,76.37,31.980,44.36
436,05/04/2024 00:15:00,76.33,31.860,44.22
437,05/04/2024 00:20:00,76.24,31.810,44.11
438,05/04/2024 00:25:00,76.21,31.790,44.05
439,05/04/2024 00:30:00,76.15,31.690,43.93
440,05/04/2024 00:35:00,76.12,31.690,43.90
441,05/04/2024 00:40:00,76.03,31.640,43.78
442,05/04/2024 00:45:00,75.99,31.790,43.87
443,05/04/2024 00:50:00,75.94,31.640,43.70
444,05/04/2024 00:55:00,75.90,31.640,43.67
445,05/04/2024 01:00:00,75.81,31.670,43.61
446,05/04/2024 01:05:00,75.78,31.590,43.52
447,05/04/2024 01:10:00,75.69,31.490,43.36
448,05/04/2024 01:15:00,75.63,31.540,43.35
449,05/04/2024 01:20:00,75.60,31.520,43.30
450,05/04/2024 01:25:00,75.54,31.450,43.19
451,05/04/2024 01:30:00,75.51,31.400,43.12
452,05/04/2024 01:35:00,75.42,31.300,42.96
453,05/04/2024 01:40:00,75.38,31.400,43.01
454,05/04/2024 01:45:00,75.33,31.270,42.86
455,05/04/2024 01:50:00,75.29,31.370,42.91
456,05/04/2024 01:55:00,75.25,31.420,42.92
457,05/04/2024 02:00:00,75.20,31.420,42.88
458,05/04/2024 02:05:00,75.16,31.470,42.88
459,05/04/2024 02:10:00,75.11,31.520,42.88
460,05/04/2024 02:15:00,75.07,31.790,43.07
461,05/04/2024 02:20:00,75.04,31.810,43.06
462,05/04/2024 02:25:00,74.98,31.840,43.03
463,05/04/2024 02:30:00,74.95,31.710,42.90
464,05/04/2024 02:35:00,74.89,31.860,42.97
465,05/04/2024 02:40:00,74.86,31.810,42.90
466,05/04/2024 02:45:00,74.77,31.910,42.90
467,05/04/2024 02:50:00,74.73,31.840,42.81
468,05/04/2024 02:55:00,74.73,31.740,42.73
469,05/04/2024 03:00:00,74.68,31.710,42.66
470,05/04/2024 03:05:00,74.64,31.710,42.63
471,05/04/2024 03:10:00,74.59,31.520,42.42
472,05/04/2024 03:15:00,74.55,31.420,42.31
473,05/04/2024 03:20:00,74.52,31.250,42.14
474,05/04/2024 03:25:00,74.46,31.080,41.95
475,05/04/2024 03:30:00,74.43,31.010,41.86
476,05/04/2024 03:35:00,74.37,31.010,41.81
477,05/04/2024 03:40:00,74.34,30.980,41.76
478,05/04/2024 03:45:00,74.30,31.080,41.81
479,05/04/2024 03:50:00,74.25,31.250,41.91
480,05/04/2024 03:55:00,74.21,31.050,41.71
481,05/04/2024 04:00:00,74.16,31.080,41.69
482,05/04/2024 04:05:00,74.12,31.130,41.69
483,05/04/2024 04:10:00,74.08,31.100,41.64
484,05/04/2024 04:15:00,74.03,31.150,41.64
485,05/04/2024 04:20:00,74.03,31.030,41.54
486,05/04/2024 04:25:00,74.03,31.320,41.78
487,05/04/2024 04:30:00,73.99,31.490,41.89
488,05/04/2024 04:35:00,73.99,31.710,42.07
489,05/04/2024 04:40:00,73.99,31.960,42.27
490,05/04/2024 04:45:00,73.99,32.100,42.39
491,05/04/2024 04:50:00,73.99,32.230,42.49
492,05/04/2024 04:55:00,73.94,32.300,42.50
493,05/04/2024 05:00:00,73.94,32.420,42.60
494,05/04/2024 05:05:00,73.94,32.420,42.60
495,05/04/2024 05:10:00,73.90,32.470,42.60
496,05/04/2024 05:15:00,73.90,32.470,42.60
497,05/04/2024 05:20:00,73.90,32.500,42.62
498,05/04/2024 05:25:00,73.87,32.320,42.45
499,05/04/2024 05:30:00,73.87,32.350,42.47
500,05/04/2024 05:35:00,73.87,32.230,42.38
501,05/04/2024 05:40:00,73.87,32.150,42.32
502,05/04/2024 05:45:00,73.81,32.080,42.21
503,05/04/2024 05:50:00,73.81,32.130,42.25
504,05/04/2024 05:55:00,73.81,32.080,42.21
505,05/04/2024 06:00:00,73.78,32.010,42.12
506,05/04/2024 06:05:00,73.78,32.010,42.12
507,05/04/2024 06:10:00,73.78,32.080,42.18
508,05/04/2024 06:15:00,73.78,32.180,42.26
509,05/04/2024 06:20:00,73.78,32.100,42.20
510,05/04/2024 06:25:00,73.72,32.030,42.09
511,05/04/2024 06:30:00,73.72,31.960,42.03
512,05/04/2024 06:35:00,73.72,31.930,42.01
513,05/04/2024 06:40:00,73.69,32.500,42.43
514,05/04/2024 06:45:00,73.65,32.620,42.50
515,05/04/2024 06:50:00,73.60,32.450,42.32
